Driver,B3,PP,WH,FB,UN,FR,KN,OE,S6,PUP,LS,WA,AKB,BF,B3_probability,PP_probability,WH_probability,FB_probability,UN_probability,FR_probability,KN_probability,OE_probability,S6_probability,PUP_probability,LS_probability,WA_probability,AKB_probability,BF_probability,average_probability,normalized_probability,game_points,xPts
Fernando Alonso,50.0,50.0,66.0,50.0,40.0,50.0,40.0,50.0,50.0,50.0,40.0,50.0,50.0,28.0,0.0196078431372549,0.0196078431372549,0.014925373134328358,0.0196078431372549,0.024390243902439025,0.0196078431372549,0.024390243902439025,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.024390243902439025,0.0196078431372549,0.0196078431372549,0.034482758620689655,0.021360675121259227,0.8757741435745281,50,0.43788707178726405
Alex Albon,50.0,70.0,50.0,70.0,40.0,50.0,40.0,50.0,50.0,50.0,40.0,50.0,50.0,28.0,0.0196078431372549,0.014084507042253521,0.0196078431372549,0.014084507042253521,0.024390243902439025,0.0196078431372549,0.024390243902439025,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.024390243902439025,0.0196078431372549,0.0196078431372549,0.034482758620689655,0.020906089250753785,0.8571364109577926,30,0.2571409232873378
Pierre Gasly,50.0,175.0,50.0,175.0,40.0,50.0,40.0,50.0,50.0,50.0,40.0,50.0,50.0,28.0,0.0196078431372549,0.005681818181818182,0.0196078431372549,0.005681818181818182,0.024390243902439025,0.0196078431372549,0.024390243902439025,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.024390243902439025,0.0196078431372549,0.0196078431372549,0.034482758620689655,0.019705705127834452,0.807921422609233,50,0.40396071130461647
Carlos Sainz,50.0,70.0,66.0,70.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,28.0,0.0196078431372549,0.014084507042253521,0.014925373134328358,0.014084507042253521,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.0196078431372549,0.034482758620689655,0.01954682694371957,0.8014075177426491,30,0.2404222553227947
Lance Stroll,100.0,175.0,100.0,175.0,250.0,125.0,250.0,125.0,125.0,125.0,250.0,100.0,125.0,14.7,0.009900990099009901,0.005681818181818182,0.009900990099009901,0.005681818181818182,0.00398406374501992,0.007936507936507936,0.00398406374501992,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.00398406374501992,0.009900990099009901,0.007936507936507936,0.06369426751592357,0.011171114649584934,0.4580086214258369,50,0.22900431071291844
Nico Hulkenberg,200.0,225.0,250.0,225.0,250.0,300.0,250.0,200.0,300.0,300.0,250.0,200.0,300.0,14.7,0.004975124378109453,0.004424778761061947,0.00398406374501992,0.004424778761061947,0.00398406374501992,0.0033222591362126247,0.00398406374501992,0.004975124378109453,0.0033222591362126247,0.0033222591362126247,0.00398406374501992,0.004975124378109453,0.0033222591362126247,0.06369426751592357,0.008335320692664714,0.3417428662529628,55,0.18795857643912953
Esteban Ocon,500.0,325.0,250.0,325.0,400.0,250.0,400.0,500.0,275.0,275.0,400.0,300.0,275.0,14.7,0.001996007984031936,0.003067484662576687,0.00398406374501992,0.003067484662576687,0.0024937655860349127,0.00398406374501992,0.0024937655860349127,0.001996007984031936,0.0036231884057971015,0.0036231884057971015,0.0024937655860349127,0.0033222591362126247,0.0036231884057971015,0.06369426751592357,0.00739017867220638,0.3029926423567435,55,0.16664595329620893
Gabriel Bortoleto,300.0,275.0,250.0,275.0,400.0,750.0,400.0,300.0,750.0,750.0,400.0,250.0,750.0,14.7,0.0033222591362126247,0.0036231884057971015,0.00398406374501992,0.0036231884057971015,0.0024937655860349127,0.0013315579227696406,0.0024937655860349127,0.0033222591362126247,0.0013315579227696406,0.0013315579227696406,0.0024937655860349127,0.00398406374501992,0.0013315579227696406,0.06369426751592357,0.0070257727527975825,0.2880522305873558,60,0.1728313383524135
Jack Doohan,500.0,500.0,500.0,500.0,400.0,300.0,400.0,500.0,300.0,300.0,400.0,500.0,300.0,14.7,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.0024937655860349127,0.0033222591362126247,0.0024937655860349127,0.001996007984031936,0.0033222591362126247,0.0033222591362126247,0.0024937655860349127,0.001996007984031936,0.0033222591362126247,0.06369426751592357,0.006888617765933602,0.2824289630419292,60,0.16945737782515752
Oliver Bearman,500.0,500.0,250.0,500.0,400.0,500.0,400.0,500.0,500.0,500.0,400.0,400.0,500.0,14.7,0.001996007984031936,0.001996007984031936,0.00398406374501992,0.001996007984031936,0.0024937655860349127,0.001996007984031936,0.0024937655860349127,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.0024937655860349127,0.0024937655860349127,0.001996007984031936,0.06369426751592357,0.006687246962667045,0.27417288771797255,55,0.1507950882448849
