Driver,B3,SK,PP,WH,FB,VC,LD,UN,SX,KN,BY,OE,S6,PUP,SI,LS,QN,WA,CE,G5,VT,AKB,BF,MA,B3_probability,SK_probability,PP_probability,WH_probability,FB_probability,VC_probability,LD_probability,UN_probability,SX_probability,KN_probability,BY_probability,OE_probability,S6_probability,PUP_probability,SI_probability,LS_probability,QN_probability,WA_probability,CE_probability,G5_probability,VT_probability,AKB_probability,BF_probability,MA_probability,average_probability,normalized_probability
Fernando Alonso,150.0,150.0,150.0,200.0,150.0,150.0,250.0,150.0,250.0,150.0,200.0,150.0,300.0,300.0,250.0,150.0,200.0,200.0,250.0,150.0,150.0,300.0,538.0,528.0,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.004975124378109453,0.006622516556291391,0.006622516556291391,0.00398406374501992,0.006622516556291391,0.00398406374501992,0.006622516556291391,0.004975124378109453,0.006622516556291391,0.0033222591362126247,0.0033222591362126247,0.00398406374501992,0.006622516556291391,0.004975124378109453,0.004975124378109453,0.00398406374501992,0.006622516556291391,0.006622516556291391,0.0033222591362126247,0.0018552875695732839,0.001890359168241966,0.0050998691149239965,0.5119800135066035
Liam Lawson,250.0,250.0,275.0,250.0,275.0,200.0,500.0,300.0,250.0,300.0,250.0,250.0,300.0,300.0,250.0,300.0,250.0,250.0,500.0,275.0,250.0,300.0,97.0,283.0,0.00398406374501992,0.00398406374501992,0.0036231884057971015,0.00398406374501992,0.0036231884057971015,0.004975124378109453,0.001996007984031936,0.0033222591362126247,0.00398406374501992,0.0033222591362126247,0.00398406374501992,0.00398406374501992,0.0033222591362126247,0.0033222591362126247,0.00398406374501992,0.0033222591362126247,0.00398406374501992,0.00398406374501992,0.001996007984031936,0.0036231884057971015,0.00398406374501992,0.0033222591362126247,0.01020408163265306,0.0035211267605633804,0.0038890044260106674,0.39042032132345333
Lance Stroll,150.0,150.0,150.0,200.0,150.0,250.0,500.0,250.0,500.0,250.0,250.0,150.0,500.0,500.0,500.0,250.0,250.0,250.0,500.0,250.0,150.0,500.0,293.0,783.0,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.004975124378109453,0.006622516556291391,0.00398406374501992,0.001996007984031936,0.00398406374501992,0.001996007984031936,0.00398406374501992,0.00398406374501992,0.006622516556291391,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.00398406374501992,0.00398406374501992,0.00398406374501992,0.001996007984031936,0.00398406374501992,0.006622516556291391,0.001996007984031936,0.003401360544217687,0.0012755102040816326,0.003967985846355835,0.3983493304301296
Nico Hulkenberg,1000.0,1000.0,500.0,750.0,500.0,500.0,1000.0,1000.0,750.0,1000.0,1000.0,500.0,750.0,750.0,750.0,1000.0,1000.0,750.0,1000.0,1000.0,1000.0,750.0,979.0,969.0,0.000999000999000999,0.000999000999000999,0.001996007984031936,0.0013315579227696406,0.001996007984031936,0.001996007984031936,0.000999000999000999,0.000999000999000999,0.0013315579227696406,0.000999000999000999,0.000999000999000999,0.001996007984031936,0.0013315579227696406,0.0013315579227696406,0.0013315579227696406,0.000999000999000999,0.000999000999000999,0.0013315579227696406,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0013315579227696406,0.0010204081632653062,0.0010309278350515464,0.0012643868492851278,0.1269328254484466
Oliver Bearman,1000.0,1000.0,500.0,1000.0,500.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,750.0,750.0,750.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,750.0,979.0,969.0,0.000999000999000999,0.000999000999000999,0.001996007984031936,0.000999000999000999,0.001996007984031936,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0013315579227696406,0.0013315579227696406,0.0013315579227696406,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0013315579227696406,0.0010204081632653062,0.0010309278350515464,0.0011397333183948031,0.1144187559712292
Pierre Gasly,500.0,500.0,500.0,500.0,500.0,500.0,1000.0,500.0,750.0,500.0,600.0,500.0,500.0,500.0,750.0,500.0,750.0,500.0,1000.0,500.0,500.0,500.0,254.0,724.0,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.000999000999000999,0.001996007984031936,0.0013315579227696406,0.001996007984031936,0.0016638935108153079,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.0013315579227696406,0.001996007984031936,0.0013315579227696406,0.001996007984031936,0.000999000999000999,0.001996007984031936,0.001996007984031936,0.001996007984031936,0.00392156862745098,0.001379310344827586,0.0018705656664131573,0.18778761053938728
Gabriel Bortoleto,2000.0,2000.0,500.0,1000.0,500.0,1000.0,2000.0,2000.0,1000.0,2000.0,1000.0,750.0,1000.0,1000.0,1000.0,2000.0,1500.0,1500.0,2000.0,1000.0,2000.0,1000.0,979.0,969.0,0.0004997501249375312,0.0004997501249375312,0.001996007984031936,0.000999000999000999,0.001996007984031936,0.000999000999000999,0.0004997501249375312,0.0004997501249375312,0.000999000999000999,0.0004997501249375312,0.000999000999000999,0.0013315579227696406,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0004997501249375312,0.0006662225183211193,0.0006662225183211193,0.0004997501249375312,0.000999000999000999,0.0004997501249375312,0.000999000999000999,0.0010204081632653062,0.0010309278350515464,0.0009040152048459101,0.09075482259588963
Jack Doohan,2000.0,2000.0,500.0,1000.0,500.0,1000.0,1500.0,2000.0,1000.0,2000.0,1000.0,750.0,1000.0,1000.0,1000.0,2000.0,1500.0,1500.0,1500.0,1000.0,2000.0,1000.0,979.0,969.0,0.0004997501249375312,0.0004997501249375312,0.001996007984031936,0.000999000999000999,0.001996007984031936,0.000999000999000999,0.0006662225183211193,0.0004997501249375312,0.000999000999000999,0.0004997501249375312,0.000999000999000999,0.0013315579227696406,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0004997501249375312,0.0006662225183211193,0.0006662225183211193,0.0006662225183211193,0.000999000999000999,0.0004997501249375312,0.000999000999000999,0.0010204081632653062,0.0010309278350515464,0.0009178879042945426,0.09214751419071888
Isack Hadjar,2000.0,2000.0,500.0,1000.0,500.0,1000.0,1500.0,2000.0,1000.0,2000.0,1000.0,750.0,1000.0,1000.0,1000.0,2000.0,1500.0,1500.0,1500.0,1000.0,2000.0,1000.0,979.0,53.0,0.0004997501249375312,0.0004997501249375312,0.001996007984031936,0.000999000999000999,0.001996007984031936,0.000999000999000999,0.0006662225183211193,0.0004997501249375312,0.000999000999000999,0.0004997501249375312,0.000999000999000999,0.0013315579227696406,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0004997501249375312,0.0006662225183211193,0.0006662225183211193,0.0006662225183211193,0.000999000999000999,0.0004997501249375312,0.000999000999000999,0.0010204081632653062,0.018518518518518517,0.0016465375161056662,0.16529724209353
Esteban Ocon,2000.0,2000.0,500.0,1000.0,500.0,1000.0,1500.0,2000.0,1000.0,2000.0,1000.0,750.0,1000.0,1000.0,1000.0,2000.0,1500.0,1500.0,1500.0,1000.0,2000.0,1000.0,979.0,969.0,0.0004997501249375312,0.0004997501249375312,0.001996007984031936,0.000999000999000999,0.001996007984031936,0.000999000999000999,0.0006662225183211193,0.0004997501249375312,0.000999000999000999,0.0004997501249375312,0.000999000999000999,0.0013315579227696406,0.000999000999000999,0.000999000999000999,0.000999000999000999,0.0004997501249375312,0.0006662225183211193,0.0006662225183211193,0.0006662225183211193,0.000999000999000999,0.0004997501249375312,0.000999000999000999,0.0010204081632653062,0.0010309278350515464,0.0009178879042945426,0.09214751419071888
