Driver,B3,SK,PP,WH,FB,VC,LD,BY,OE,WA,CE,VT,UN,KN,B3_probability,SK_probability,PP_probability,WH_probability,FB_probability,VC_probability,LD_probability,BY_probability,OE_probability,WA_probability,CE_probability,VT_probability,UN_probability,KN_probability,average_probability,normalized_probability
Esteban Ocon,20.0,20.0,18.0,16,18.0,20.0,22.0,20.0,18.0,16.0,22.0,20.0,14.0,14.0,0.047619047619047616,0.047619047619047616,0.05263157894736842,0.058823529411764705,0.05263157894736842,0.047619047619047616,0.043478260869565216,0.047619047619047616,0.05263157894736842,0.058823529411764705,0.043478260869565216,0.047619047619047616,0.06666666666666667,0.06666666666666667,0.05242334920238117,4.212434753655563
Fernando Alonso,22.0,22.0,18.0,20,18.0,22.0,22.0,22.0,20.0,20.0,22.0,22.0,20.0,20.0,0.043478260869565216,0.043478260869565216,0.05263157894736842,0.047619047619047616,0.05263157894736842,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.047619047619047616,0.047619047619047616,0.043478260869565216,0.043478260869565216,0.047619047619047616,0.047619047619047616,0.046264730148352244,3.717564026538066
Liam Lawson,25.0,25.0,22.0,14,22.0,25.0,16.0,25.0,22.0,14.0,16.0,25.0,12.0,12.0,0.038461538461538464,0.038461538461538464,0.043478260869565216,0.06666666666666667,0.043478260869565216,0.038461538461538464,0.058823529411764705,0.038461538461538464,0.043478260869565216,0.06666666666666667,0.058823529411764705,0.038461538461538464,0.07692307692307693,0.07692307692307693,0.051969215779957466,4.17594323908199
Alex Albon,20.0,20.0,18.0,25,18.0,20.0,14.0,20.0,22.0,20.0,14.0,20.0,20.0,20.0,0.047619047619047616,0.047619047619047616,0.05263157894736842,0.038461538461538464,0.05263157894736842,0.047619047619047616,0.06666666666666667,0.047619047619047616,0.043478260869565216,0.047619047619047616,0.06666666666666667,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.05010633367939678,4.026252892666498
Carlos Sainz,20.0,20.0,18.0,25,18.0,20.0,22.0,20.0,20.0,22.0,22.0,20.0,22.0,22.0,0.047619047619047616,0.047619047619047616,0.05263157894736842,0.038461538461538464,0.05263157894736842,0.047619047619047616,0.043478260869565216,0.047619047619047616,0.047619047619047616,0.043478260869565216,0.043478260869565216,0.047619047619047616,0.043478260869565216,0.043478260869565216,0.04620216331559907,3.712536520575062
Lewis Hamilton,33.0,33.0,25.0,33,25.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,28.0,28.0,0.029411764705882353,0.029411764705882353,0.038461538461538464,0.029411764705882353,0.038461538461538464,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.034482758620689655,0.034482758620689655,0.03142901723023427,2.525452617358999
Oscar Piastri,33.0,33.0,25.0,33,25.0,33.0,40.0,33.0,33.0,33.0,40.0,33.0,28.0,28.0,0.029411764705882353,0.029411764705882353,0.038461538461538464,0.029411764705882353,0.038461538461538464,0.029411764705882353,0.024390243902439025,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.024390243902439025,0.029411764705882353,0.034482758620689655,0.034482758620689655,0.030711657115456654,2.4678097401992485
Max Verstappen,33.0,33.0,25.0,33,25.0,33.0,40.0,33.0,33.0,33.0,40.0,33.0,28.0,28.0,0.029411764705882353,0.029411764705882353,0.038461538461538464,0.029411764705882353,0.038461538461538464,0.029411764705882353,0.024390243902439025,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.024390243902439025,0.029411764705882353,0.034482758620689655,0.034482758620689655,0.030711657115456654,2.4678097401992485
Charles Leclerc,33.0,33.0,25.0,33,25.0,33.0,40.0,33.0,33.0,33.0,40.0,33.0,28.0,28.0,0.029411764705882353,0.029411764705882353,0.038461538461538464,0.029411764705882353,0.038461538461538464,0.029411764705882353,0.024390243902439025,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.024390243902439025,0.029411764705882353,0.034482758620689655,0.034482758620689655,0.030711657115456654,2.4678097401992485
George Russell,33.0,33.0,25.0,28,25.0,33.0,40.0,33.0,33.0,28.0,40.0,33.0,28.0,28.0,0.029411764705882353,0.029411764705882353,0.038461538461538464,0.034482758620689655,0.038461538461538464,0.029411764705882353,0.024390243902439025,0.029411764705882353,0.029411764705882353,0.034482758620689655,0.024390243902439025,0.029411764705882353,0.034482758620689655,0.034482758620689655,0.031436084817571985,2.5260205274787997
Lando Norris,33.0,33.0,25.0,33,25.0,33.0,40.0,33.0,33.0,33.0,40.0,33.0,28.0,28.0,0.029411764705882353,0.029411764705882353,0.038461538461538464,0.029411764705882353,0.038461538461538464,0.029411764705882353,0.024390243902439025,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.024390243902439025,0.029411764705882353,0.034482758620689655,0.034482758620689655,0.030711657115456654,2.4678097401992485
